,teks,label
0,promo beli paket flash gb my telkomsel app extra kuota gb g lte extra telpon mnthr buru cek tselmemytsel sk,2
1,gb rp ribu spesial pilih aktif promo sd nov buru aktif sk,2
2,plg yth sisa kuota flash kb download mytelkomsel apps httptselmetsel cek kuotabeli paket flash hubung,2
3,plg yth sisa kuota flash kb download mytelkomsel apps httptselmetsel cek kuotabeli paket flash hubung,2
4,gb rp ribu spesial pilih aktif buru skb,2
5,ekstra pulsa rb beli paket internet bulan mytelkomsel beli sjk augsept cek detail promo tselmemytsel,2
6,iring tarif rp hr panjang rp hr hits armada curi hati tekan okcall info,2
7,eks loh internetan pakai volume ultima mbhr hrga rp rb tariflokasi cek tselmefl,2
8,aktif iring coboy jr hebat tekan info hits baru noah engkau aktif iring nya hp ketik mg noah kirim info berkah iring rp yuni shara aktif iring nya tkn okcall raih thr puluhanjt henti unreg,2
9,ambil bonus hari bebas pulsa dptkan gratis telpon internetan promo sesuai hobi,2
10,henti langgan paket flash ketik flashspasiya tuju tunggu sms konfirmasi nonaktif paket,2
11,langgan paket rp mb gg mb ghari tuju balas flashspasiya kirim lanjut paket panjang aktif tarif sesuai lokasi tunggu sms konfirmasi pakai info zona detail tarif lihat tselmeinternet,2
12,beli paket gampang internetan rp chatting puas bbm whatsapp line harijika tuju balas flashspasiya kirim melanjutkantunggu sms konfirmasi pemakaianinfo detail tariff lihat tselmeinternet,2
13,terima setting ponsel ponsel akses internet kirim fotomms tuju balas pesan gratis ketik y,2
14,aktif paket bbm gratis laku kali aktivasi ketik flash spasi ya lanjut,2
15,kupon program kartu as biber beli internet hadiah cek total kupon maksimal x jam info lengkap hub,2
16,nikmat paket reguler sisa kuota kbdapatkan agam paket internet hemat tri,2
17,daftar layan paket malam langgan laku isi ulang voucher kenyang download,2
18,tukar poin poin tukar poin menang hadih lg g gb menang tukar poin tinggi sd november,2
19,angpaopoinsenyum dptkan vchr lottemart rb tukar poin normal poin sd feb ketik batas info wwwindosatooredoocomangpao,2
20,nya eks internetan pakai volume ultima mbhr hrga rp rb tariflokasi cek tselmefl,2
21,ayam sayappaha nasi perkedel rp gratis teh pucuk tukar sms cfc hasan sadikin sedia promo,2
22,ayo anak medan beli stiker line pulsa klik httpwwwtelkomselcomlinestore nama stickernya dan medan,2
23,ayo download axisnet appleplay store aktif bronetjam gb hr rp bronetjam gb hr obor gb rp info ld,2
24,ayo download axisnet playapple store aktif bronetjam gb hr rp bronetjam gb hr obor gb rp info ld,2
25,ayo dukung lestari alam indonesia indosat ooredoo wwfindonesia donasi nomor indosat ooredoo,2
26,ayo kawal manfaat subsidi bbm kompensasi hak adu ketik bbm spasi isi pesan kirim,2
27,banting harga internetan kuota gb rb rupiah paket laku bulan ketik ya sd desember,2
28,bebas ekspresi diri paket freedom combo indosat ooredoo hubung wwwindosatooredoocomfreedom,2
29,bebas pulsa ambil bonus gratis dptkan gratis telpon internetas promo sesuai hobi,2
30,beli gratis lychee tea latte flavour yellow truck jlpatuha no tukar sms laku sk berlakupromo,2
31,beli gratis beli diskon tiket kampung gajah wonderland bandung sd mei tunjuk sms tugas info wwwindosatcomkampunggajah,2
32,beli gratis donut dunkin donuts borma setiabudhi tukar sms laku sedia promo,2
33,beli paket turbo rb beli mytelkomsel app sjk aug sept extra pulsa tsel rp rb loh cek detail paket tselmemytsel,2
34,internetan gb rb paket laku ketik ya tawar laku sd januari,2
35,bonus kuota mb hr isi ulang min ayo buru isi pulsa t,2
36,bonus pulsa rb ayo isi pulsa min rb dapetkan bonus pulsa rb telpon nomor tri ayo buru isi pulsa t,2
37,bonus pulsa indosat ooredoo ketik telepon hp april,2
38,bonus pulsa rb isi ulang rb hny indosat tawar laku sd april bonus x indosat ooredoo,2
39,bonus pulsa rp rb spesial langgan setia indosat ooredohanya isi ulang rprb tawar laku sd jan bonus x,2
40,bonus rp kirim sms x bonus khusus t,2
41,bonus rp telepon teman menit bonus khusus a,2
42,bukti hemat pakai argo bandung grabcar hayu aja rencang bareng buktikeun nyalira,2
43,buru download registrasi mycare httpbitlymycareply dapat promo gb g paket freedoom m l harga khusus,2
44,butuh piknikada nih libur gratis hongkongcarapake pulsa axis hp androidmu transaksi banyak items pokemon gobigococ dllinfo ld,2
45,buy get tiket trans studio bandungmulai meijuni tunjuk sms tugas lokasi info wwwindosatcomtransstudiobgd,2
46,rp telpon sms unlimited indosat ooredoo internetan puas paket ramadhan unlimited ketik,2
47,dapat bonus pulsa hg rb isi ulang minggu isi ulang rb ktk gratis kirim pandu ketik pan kirim cek bonus tekan,2
48,dapat bonus sms kirim sms bonus ratus sms operator pakai indosat ooredoo raih bebas komunikasi,2
49,dapat disc mcdonalds khusus bayar tcash tapdptkan stiker tcash tap grapari dekat info tselmetappromo,2
50,dapat disc dominos pan pizzaroti tebal keju pinggirmulai rpkunjungi toko terdekattelf klik panpizzacoid,2
51,dapat extra kuota gb g lte extra telpon mnthr beli paket flash gb my telkomsel app buru cek tselmemytsel sk,2
52,dapat gratis cappuccino hotice freza transaksi min rprb excelso cafe semarang yogya solo sd agust tunjuk sms tugas,2
53,dapat gratis wendys crispy chicken sandwich minimal beli rp tukar sms wendys dekat sedia batas promo,2
54,dapat saldo main rp rb bayar rp rb laku seninkamis tukar sms timezone dekat promo,2
55,dapat voucher cipika rp rb belanja kuliner gadget fashion dll tkn pilih cipika gratis batas info wwwindosatooredoocom,2
56,dear customer kindly values your experience at telkomsel service score very poor excellent kirim sms free for intl charged,2
57,disc dominos pizza value range sd agustuskunjungi store terdekathubungi visit httpbitlykoz kodevrd,2
58,diskon ribu khusus langgan grab bandung laku x kode promo urangbandung repot jalan macet susah parkir hayu ngegrab we atuh,2
59,diskon kuota nelpon menit operator rprb normal rprb aktif balas sms ketik tri v,2
60,diskon kacamata lengkap bonus kacamata hitam tunjuk sms jl gatot soebroto t sampk berlakupromo,2
61,dominos pan pizzarotinya tebal keju pinggir nikmat disc rpkunjungi toko terdekattelf klik panpizzacoid,2
62,double kuota internet plus unlimited telpon sms paket freedom combo indosat ooredoo hubung wwwindosatooredoocomfreedom,2
63,download rasa seru gamegame premium pilih,2
64,dptkn free member card larissa aesthetic center disc high treatment asuransi jiwa isi ulang pulsa rp rb galeri indosat jateng diy sd des,2
65,dptkn sempat raih hadiah utama mobil alphard tukar poin senyum kupon undi sd tanggal junketik undi jmlh poin rp,2
66,dukung rehabilitasi kembang potensi anak butuh khusus ypac jakarta mari bagi sms donasi etik,2
67,flash promo sd agt ayo datang gallery smartfren dekat diskon rb tukar hp smartfrenmu andromax g lte tukar mifi g lte,2
68,free doublescoop ice cream disc haagendasz tcash tap sk laku info tselmetappromo,2
69,gratis gb ganti kartu sim sim g tukar gerai indosatooredoo dekat nikmat gratis gb jaring g,2
70,gratis telpon mana operator beli internet hari mb harga rp balas sms ketik js beli n,2
71,gratis whatsapp hari beli internet hari mb harga rp balas sms ketik jr beli n,2
72,grab nikmat diskon x guna masuk kode cobagrabcar ajak temantemanmu keliling bandung tanp,2
73,grabcar grabtaxi dapat diskon ribu stasiunbandara bandung masuk kode promo grabtravel pakai september hatur nuhun,2
74,tcash bayar tagih listrik beli token listrik hubung pilih menu bayar beli,2
